cand_id,cmte_id,cycle,total,count,support_oppose_indicator,candidate_id,committee_id,candidate_name,committee_name
P00013524,C00763425,2020,7440.00,1,S,P00013524,C00763425,"JORGENSEN, JO",LIBERTARIAN PARTY OF MN
P00014407,C00730317,2020,2367169.00,11,S,P00014407,C00730317,"PATRICK, DEVAL",REASON TO BELIEVE PAC
P00014530,C00674697,2020,57.29,1,O,P00014530,C00674697,"BLOOMBERG, MICHAEL R.",SUNRISE PAC
P00014530,C00728352,2020,155.58,4,O,P00014530,C00728352,"BLOOMBERG, MICHAEL R.",DREAM DEFENDERS FIGHT PAC
P00014530,C00728352,2020,61.75,1,S,P00014530,C00728352,"BLOOMBERG, MICHAEL R.",DREAM DEFENDERS FIGHT PAC
P00014530,C90018045,2020,101.39,4,O,P00014530,C90018045,"BLOOMBERG, MICHAEL R.",UNITED WE DREAM ACTION
P00014530,C90018862,2020,248.77,1,S,P00014530,C90018862,"BLOOMBERG, MICHAEL R.","MISLOVE, ALAN EDWARD"
P00014613,C00172361,2020,876.89,2,O,P00014613,C00172361,"DE LA FUENTE, ROQUE III",PENNSYLVANIA PRO-LIFE FEDERATION PAC
P00016741,C00682203,2020,25.00,1,S,P00016741,C00682203,"WEST, KANYE",THE REALLY ONLINE LEFTY LEAGUE
P60007168,C00172361,2020,876.90,2,O,P60007168,C00172361,"SANDERS, BERNARD",PENNSYLVANIA PRO-LIFE FEDERATION PAC
P60007168,C00370007,2020,18255.97,2,S,P60007168,C00370007,"SANDERS, BERNARD",DEMOCRACY FOR AMERICA
P60007168,C00406256,2020,64.28,1,S,P60007168,C00406256,"SANDERS, BERNARD",DEMOCRATIC CENTRAL COMMITTEE OF MARIN
P60007168,C00427575,2020,81.42,3,S,P60007168,C00427575,"SANDERS, BERNARD",EASTERN WASHINGTON VOTERS
P60007168,C00432260,2020,578.05,15,O,P60007168,C00432260,"SANDERS, BERNARD",CLUB FOR GROWTH PAC
P60007168,C00433318,2020,159.74,1,S,P60007168,C00433318,"SANDERS, BERNARD",PLACER COUNTY DEMOCRATIC CENTRAL COMMITTEE
P60007168,C00487470,2020,59190.75,6,O,P60007168,C00487470,"SANDERS, BERNARD",CLUB FOR GROWTH ACTION
P60007168,C00490375,2020,3330.17,2,S,P60007168,C00490375,"SANDERS, BERNARD",NATIONAL NURSES UNITED FOR PATIENT PROTECTION
P60007168,C00520312,2020,2706.30,39,S,P60007168,C00520312,"SANDERS, BERNARD","AMERICAN FEDERATION OF TEACHERS GUILD, LOCAL 1931 SAN DIEGO AND GROSSMONT - CUYAMACA COMMUNITY COLLEGES FEDERAL COMMITTEE ON POLITICAL EDUCATION"
P60007168,C00528554,2020,68895.00,2,O,P60007168,C00528554,"SANDERS, BERNARD",RJC VICTORY FUND
P60007168,C00530766,2020,4600.00,4,O,P60007168,C00530766,"SANDERS, BERNARD",WOMEN SPEAK OUT PAC
P60007168,C00609750,2020,299.20,16,S,P60007168,C00609750,"SANDERS, BERNARD",JAMPAC
P60007168,C00674697,2020,74196.05,194,S,P60007168,C00674697,"SANDERS, BERNARD",SUNRISE PAC
